Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Name_x,Type_x,Address,City_x,Contact_x,Name_y,Type_y,City_y,Contact_y
53,37,449,Completed,2025-03-11 09:43:00,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,Mrs. Valerie Hartman,Ngo,Port Jenniferborough,1271218776
54,534,737,Cancelled,2025-03-06 01:44:00,Vegetables,34,2025-03-30,223,Restaurant,Longland,Non-Vegetarian,Dinner,Hodges And Sons,Restaurant,"7970 Robinson Field
Salinaschester, CT 85213",Longland,504.107.9130,James Brown,Shelter,Lake Catherine,(152)508-8754x91151
55,438,601,Completed,2025-03-09 00:13:00,Dairy,46,2025-03-20,84,Restaurant,Marthaside,Vegetarian,Breakfast,Atkins Group,Restaurant,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,+1-318-669-6985x63710,Peter Gonzalez,Shelter,Biancaton,(112)578-4601x9811
56,690,452,Completed,2025-03-17 14:29:00,Fruits,43,2025-03-16,779,Supermarket,New Bobbytown,Vegetarian,Breakfast,Maynard Llc,Supermarket,"7357 Kimberly Estate
Williamtown, TX 45569",New Bobbytown,416.974.9320x8176,Tina Banks,Charity,Port Judith,986-535-7620
57,225,295,Completed,2025-03-11 21:44:00,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Vegan,Dinner,"Barry, Powers And White",Grocery Store,"1145 Justin Light
Richardside, CT 45760",Murrayborough,(023)817-1166,Joseph Williams,Individual,East Dale,001-112-513-9413
58,258,149,Completed,2025-03-13 15:12:00,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,Nathan Willis,Ngo,Danielfort,830.318.9696x322
59,797,371,Cancelled,2025-03-02 23:28:00,Dairy,40,2025-03-27,467,Catering Service,Phillipsfort,Vegan,Breakfast,"Wilson, Watkins And Moore",Catering Service,"57044 Fisher Valley
Parkerland, ID 82897",Phillipsfort,782.944.0904,William Frederick,Ngo,Port Dean,001-228-551-9866
60,390,391,Pending,2025-03-16 15:03:00,Soup,19,2025-03-27,264,Catering Service,New Richard,Non-Vegetarian,Lunch,Holland And Sons,Catering Service,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344,Regina Munoz,Ngo,Lake Clinton,585.955.3149
61,990,550,Cancelled,2025-03-08 21:06:00,Pasta,11,2025-03-25,720,Restaurant,Francisshire,Vegetarian,Breakfast,"Page, Smith And Davis",Restaurant,"065 Mary Estate Apt. 886
North Jessica, NY 33169",Francisshire,921-470-8846x3047,Shawn Gibson,Individual,South Eric,001-268-793-0427x33000
62,258,678,Pending,2025-03-17 14:07:00,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934,Joseph Johnson,Ngo,South Jasminechester,412.202.8352x6950
63,119,279,Pending,2025-03-08 21:30:00,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,Dyer Group,Catering Service,"601 Kent Mills Apt. 098
New Robertstad, NY 73393",East Candace,906.900.1026,Angela Wyatt,Charity,Port Jessica,592.913.1646x3179
64,771,90,Completed,2025-03-17 13:38:00,Chicken,9,2025-03-23,551,Restaurant,East Sandratown,Vegetarian,Dinner,"Holland, Caldwell And Oliver",Restaurant,"7502 Silva Lights Apt. 125
North Brittany, MA 40389",East Sandratown,(670)960-9465,Alvin West,Shelter,Kellybury,(417)314-8724
65,424,532,Cancelled,2025-03-15 15:00:00,Pasta,41,2025-03-27,910,Restaurant,Leeburgh,Non-Vegetarian,Lunch,Lee Plc,Restaurant,"886 Mark Plain Suite 687
Lake Nicholashaven, MN 43931",Leeburgh,346.517.7901x471,David Sellers Dvm,Individual,South Michaelfurt,492.321.3443
66,310,730,Cancelled,2025-03-11 19:22:00,Rice,13,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,Baird Plc,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199,Felicia Glover,Shelter,East Michael,982-844-2370
67,486,817,Completed,2025-03-17 17:22:00,Chicken,9,2025-03-25,550,Catering Service,Timothychester,Vegan,Snacks,"Phelps, Graham And Hayes",Catering Service,"59138 Sherman Light Apt. 256
Rossside, ND 89271",Timothychester,(512)814-0594x96653,Victoria Torres,Charity,Martinchester,+1-624-780-9445x7755
68,526,321,Pending,2025-03-02 04:49:00,Rice,11,2025-03-30,883,Supermarket,New Jacob,Vegetarian,Lunch,"Lewis, Wagner And Solis",Supermarket,"250 Chloe Common
South Elizabethbury, NH 23690",New Jacob,001-094-480-8706,Wanda Wise,Shelter,South Bethanyport,(940)028-0493x49472
69,321,45,Completed,2025-03-10 06:15:00,Pasta,20,2025-03-18,572,Supermarket,Lake Cathy,Non-Vegetarian,Lunch,Shaw Group,Supermarket,"PSC 8369, Box 1372
APO AP 87487",Lake Cathy,+1-168-522-2184x289,Derek Potter,Charity,South Laurachester,497-372-7517x026
70,203,479,Completed,2025-03-19 15:41:00,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast,Simmons Ltd,Grocery Store,"6249 Michelle Islands Apt. 374
West Heather, VT 67074",New Curtis,(219)975-7084,Karen Reeves Md,Ngo,Lake Mitchellbury,365-174-3809
71,538,897,Cancelled,2025-03-02 15:34:00,Dairy,18,2025-03-29,840,Restaurant,Cisnerostown,Vegetarian,Lunch,Farmer Ltd,Restaurant,"594 Patel Road Suite 676
Autumnborough, AK 45847",Cisnerostown,924.147.5562x1759,Shelby Rice,Shelter,New Loriberg,+1-213-470-2112x7474
72,851,44,Completed,2025-03-04 10:49:00,Fruits,35,2025-03-18,516,Catering Service,New Aaronberg,Non-Vegetarian,Snacks,"Raymond, Kelly And Yates",Catering Service,"8919 Natasha Tunnel
Jacksonburgh, MO 07674",New Aaronberg,(590)421-4384,Andrew Lawson,Shelter,Davisborough,622.566.7870
73,708,222,Pending,2025-03-05 23:42:00,Rice,17,2025-03-22,800,Catering Service,East Amyfurt,Vegan,Lunch,"Hughes, Fuller And Sanchez",Catering Service,"19447 Michael Locks Apt. 580
Thompsonburgh, NJ 75869",East Amyfurt,(040)473-0155,Stephanie Jones,Shelter,West Aaronport,001-029-940-1111
74,487,62,Cancelled,2025-03-02 13:20:00,Fruits,43,2025-03-18,499,Catering Service,Jonathanstad,Vegetarian,Dinner,Blankenship-Lewis,Catering Service,"883 Lee Alley
East Robertview, MI 64109",Jonathanstad,651-552-2403,Nichole Lewis,Ngo,North Catherinefurt,777-445-5269x5255
75,909,161,Cancelled,2025-03-06 11:44:00,Fish,10,2025-03-28,831,Catering Service,Lewishaven,Vegan,Snacks,Figueroa Inc,Catering Service,"5678 Washington Pines Suite 444
Millerfurt, DE 55779",Lewishaven,107.592.8920,Mary Nguyen,Charity,Mcclurestad,+1-453-182-2743x789
76,877,185,Completed,2025-03-13 22:38:00,Chicken,8,2025-03-20,374,Grocery Store,Steeleport,Non-Vegetarian,Lunch,"Pollard, Yoder And Martin",Grocery Store,"3352 Willis Junctions Apt. 432
Lake Pamelaborough, NV 36555",Steeleport,731-612-0267x787,Shannon Pineda,Individual,Lake Amanda,129-249-0893x786
77,65,324,Completed,2025-03-04 22:57:00,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole Llc,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,Kristine Martin,Ngo,Thompsonhaven,444.954.4127x16438
78,504,151,Completed,2025-03-15 13:41:00,Rice,28,2025-03-30,227,Grocery Store,Derekport,Vegetarian,Lunch,Morse-Hoffman,Grocery Store,"677 Jenna Village
Port Rhonda, OK 56596",Derekport,(440)514-8820x3017,Lisa Eaton,Shelter,New Aimeemouth,342.869.6733
79,188,795,Cancelled,2025-03-03 01:13:00,Soup,4,2025-03-20,55,Grocery Store,Danachester,Vegan,Breakfast,Wilson-Brown,Grocery Store,"220 Rachel Trace
Port Mark, AK 17083",Danachester,001-473-163-6196x2386,Caitlin Cobb,Charity,North Andresport,+1-968-871-4930
80,153,35,Pending,2025-03-21 01:58:00,Fish,20,2025-03-21,737,Restaurant,Port Andrea,Vegetarian,Breakfast,"Ballard, Stanley And Hill",Restaurant,"USCGC Holt
FPO AA 27710",Port Andrea,409.995.2073x69158,James Castaneda,Shelter,South Rachaelhaven,932-277-2945x55052
81,964,876,Completed,2025-03-03 09:13:00,Rice,46,2025-03-25,192,Catering Service,Leslieville,Vegan,Dinner,"Hunter, Ballard And Caldwell",Catering Service,"60550 Fleming Branch Suite 560
Jessicashire, UT 62403",Leslieville,001-594-592-2116x9925,Jeremy Robinson,Ngo,Jamesview,001-097-198-3229x7777
82,641,638,Pending,2025-03-09 13:21:00,Bread,9,2025-03-30,692,Supermarket,South Andrewport,Vegan,Snacks,"Rocha, Johnson And Dunlap",Supermarket,"31552 Jodi Motorway Suite 547
Allenport, AR 98936",South Andrewport,+1-596-531-4868,Timothy Browning,Charity,Moralesfort,001-836-247-3024
83,805,695,Completed,2025-03-18 19:37:00,Chicken,1,2025-03-22,235,Catering Service,Gutierrezshire,Non-Vegetarian,Dinner,Gutierrez Llc,Catering Service,"310 Myers Neck
Richardtown, WA 29671",Gutierrezshire,+1-544-924-8841x926,Janet Newton,Individual,West Amandaport,930-590-8261
84,925,554,Pending,2025-03-09 02:10:00,Salad,12,2025-03-26,665,Catering Service,West Billborough,Non-Vegetarian,Lunch,Ortega-Webb,Catering Service,"62621 Mikayla Hollow Suite 797
Melendezview, ME 58412",West Billborough,001-646-036-9173x42885,Margaret Mccullough,Charity,Ortizmouth,888-890-3956
85,197,624,Completed,2025-03-01 09:52:00,Rice,21,2025-03-24,453,Grocery Store,East Timothy,Vegetarian,Breakfast,Moore Llc,Grocery Store,"316 Clark Throughway Suite 810
Port John, ND 69257",East Timothy,(305)756-5998x6969,Alvin Day Jr.,Ngo,East Heatherbury,722.127.8600
86,790,425,Cancelled,2025-03-02 09:25:00,Chicken,2,2025-03-21,332,Restaurant,West Whitneymouth,Vegan,Dinner,Cox Llc,Restaurant,"406 Lucero Mountain Apt. 736
Mollyport, RI 14316",West Whitneymouth,001-018-140-2068x875,Robert Chavez,Ngo,Chadport,(886)049-9104x019
87,829,918,Completed,2025-03-13 10:50:00,Dairy,44,2025-03-18,262,Supermarket,New Carol,Vegan,Dinner,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,Katrina Cruz,Charity,Jenkinsfurt,709-191-5616x88772
88,233,310,Completed,2025-03-03 02:47:00,Fish,19,2025-03-26,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks,Hansen Inc,Grocery Store,"9402 Corey Avenue
Jamesland, AL 54220",West Adammouth,464-311-2342,Gary Adams,Individual,New Sara,001-323-823-4026x61837
89,912,632,Cancelled,2025-03-05 20:34:00,Dairy,6,2025-03-28,334,Grocery Store,South Jillshire,Non-Vegetarian,Breakfast,Cox-Mcintyre,Grocery Store,"85337 King Junction Suite 272
East Nicoleshire, ID 63161",South Jillshire,(422)450-8076,Austin Smith,Ngo,North Marcusbury,219-381-8831x93973
